Str,Trans,S_Date,S_Time,S_Lat,S_Lon,E_Date,E_Time,E_Lat,E_Lon
10,210,07/10/2015,15:55,-7.222,51.14666667,07/10/2015,16:03,-7.191333333,51.1295
10,211,07/10/2015,16:04,-7.186833333,51.13333333,07/10/2015,16:11,-7.218166667,51.14966667
10,212,07/10/2015,16:13,-7.214666667,51.15266667,07/10/2015,16:20,-7.1855,51.13516667
10,213,07/10/2015,16:23,-7.179333333,51.14033333,07/10/2015,16:31,-7.211666667,51.15333333
10,214,07/10/2015,16:32,-7.208666667,51.157,07/10/2015,16:40,-7.1755,51.14433333
10,215,07/10/2015,16:43,-7.1715,51.14766667,07/10/2015,16:52,-7.205333333,51.15966667
10,217,07/10/2015,19:56,-7.195,51.12583333,07/10/2015,20:06,-7.225333333,51.14433333
11,218,07/10/2015,20:14,-7.222333333,51.14683333,07/10/2015,20:21,-7.191666667,51.12883333
11,219,07/10/2015,20:24,-7.187166667,51.133,07/10/2015,20:31,-7.218166667,51.14816667
11,220,07/10/2015,20:33,-7.2155,51.152,07/10/2015,20:41,-7.1825,51.1375
11,221,07/10/2015,20:43,-7.180666667,51.139,07/10/2015,20:50,-7.211333333,51.155
11,222,07/10/2015,20:52,-7.209166667,51.15683333,07/10/2015,21:00,-7.175333333,51.14433333
11,223,07/10/2015,21:18,-7.1715,51.14766667,07/10/2015,21:27,-7.205833333,51.15933333
11,224,07/10/2015,07:26,-7.223333333,51.14316667,07/10/2015,21:40,-7.1965,51.12633333
12,225,10/10/2015,06:28,-6.416333333,51.31816667,10/10/2015,06:39,-6.6355,51.31716667
12,226,10/10/2015,06:41,-6.635666667,51.32,10/10/2015,06:53,-6.416333333,51.32
12,227,10/10/2015,06:56,-6.416666667,51.3155,10/10/2015,07:07,-6.634666667,51.313
12,228,10/10/2015,08:34,-6.635,51.30933333,10/10/2015,08:53,-6.416333333,51.31383333
12,229,10/10/2015,08:55,-6.416333333,51.31166667,10/10/2015,09:10,-6.635,51.30516667
12,230,10/10/2015,09:12,-6.635,51.30283333,10/10/2015,09:31,-6.416333333,51.3085
12,231,10/10/2015,09:43,-6.416333333,51.30583333,10/10/2015,10:01,-6.634666667,51.29916667
12,232,10/10/2015,10:03,-6.634666667,51.29616667,10/10/2015,10:25,-6.416166667,51.3035
12,233,10/10/2015,10:27,-6.416333333,51.30016667,10/10/2015,10:42,-6.634666667,51.29333333
12,234,10/10/2015,10:44,-6.634666667,51.291,10/10/2015,11:10,-6.416333333,51.29766667
12,235,10/10/2015,11:12,-6.416333333,51.295,10/10/2015,11:29,-6.635,51.28816667
12,236,10/10/2015,11:31,-6.635,51.2855,10/10/2015,11:59,-6.416166667,51.2925
12,237,10/10/2015,12:02,-6.416166667,51.28966667,10/10/2015,12:28,-6.634666667,51.28216667
12,238,10/10/2015,12:30,-6.634666667,51.28,10/10/2015,12:59,-6.416333333,51.28616667
12,239,10/10/2015,13:20,-6.416333333,51.32416667,10/10/2015,13:33,-6.634333333,51.31966667
12,240,10/10/2015,13:35,-6.634333333,51.32266667,10/10/2015,13:52,-6.416333333,51.3265
14,261,16/10/2015,07:29,-6.6345,51.279,16/10/2015,08:04,-6.416333333,51.28
14,262,16/10/2015,08:06,-6.417,51.28366667,16/10/2015,08:40,-6.633833333,51.28116667
14,263,16/10/2015,09:56,-6.634333333,51.28466667,16/10/2015,10:32,-6.4205,51.284
14,264,16/10/2015,10:35,-6.416666667,51.28683333,16/10/2015,10:49,-6.634,51.2875
14,265,16/10/2015,10:51,-6.634,51.29,16/10/2015,11:07,-6.416833333,51.29083333
14,266,16/10/2015,11:08,-6.416666667,51.29233333,16/10/2015,11:19,-6.633333333,51.292
14,267,16/10/2015,11:21,-6.633166667,51.29433333,16/10/2015,11:43,-6.417,51.29533333
14,268,16/10/2015,11:45,-6.417333333,51.29733333,16/10/2015,12:03,-6.634666667,51.29733333
14,269,16/10/2015,12:06,-6.634333333,51.301,16/10/2015,12:24,-6.417833333,51.29966667
14,270,16/10/2015,12:25,-6.417833333,51.3025,16/10/2015,12:39,-6.632833333,51.304
14,271,16/10/2015,12:41,-6.632833333,51.305,16/10/2015,13:01,-6.4175,51.30566667
14,272,16/10/2015,13:03,-6.418166667,51.30766667,16/10/2015,13:20,-6.632833333,51.308
15,241,16/10/2015,01:24,-6.633666667,51.27616667,16/10/2015,01:57,-6.418166667,51.27583333
15,242,16/10/2015,01:58,-6.418166667,51.27366667,16/10/2015,02:28,-6.633833333,51.274
15,243,16/10/2015,02:30,-6.633833333,51.272,16/10/2015,02:49,-6.418166667,51.2705
15,244,16/10/2015,02:51,-6.418,51.2685,16/10/2015,03:08,-6.633833333,51.269
15,245,16/10/2015,03:10,-6.633833333,51.26633333,16/10/2015,03:29,-6.418166667,51.2655
15,246,16/10/2015,03:31,-6.418166667,51.26183333,16/10/2015,03:45,-6.632833333,51.263
15,247,16/10/2015,03:46,-6.633333333,51.26016667,16/10/2015,03:55,-6.418166667,51.25933333
15,248,16/10/2015,03:57,-6.419166667,51.2565,16/10/2015,04:13,-6.632833333,51.257
15,249,16/10/2015,04:14,-6.633166667,51.255,16/10/2015,04:30,-6.418166667,51.25316667
15,250,16/10/2015,04:32,-6.417833333,51.25066667,16/10/2015,04:44,-6.632833333,51.25116667
15,251,16/10/2015,04:45,-6.632833333,51.24866667,16/10/2015,04:56,-6.418166667,51.24866667
15,252,16/10/2015,04:58,-6.417833333,51.245,16/10/2015,05:14,-6.633333333,51.246
15,253,16/10/2015,05:16,-6.632833333,51.24316667,16/10/2015,05:25,-6.417333333,51.242
15,254,16/10/2015,05:27,-6.417333333,51.24133333,16/10/2015,05:38,-6.632833333,51.239
15,255,16/10/2015,05:40,-6.633166667,51.2375,16/10/2015,05:56,-6.416833333,51.23633333
15,256,16/10/2015,05:57,-6.416833333,51.23383333,16/10/2015,06:10,-6.632833333,51.23433333
15,257,16/10/2015,06:12,-6.632833333,51.23166667,16/10/2015,06:20,-6.416833333,51.23033333
15,258,16/10/2015,06:21,-6.416833333,51.2275,16/10/2015,06:36,-6.633333333,51.229
15,259,16/10/2015,06:38,-6.633166667,51.22666667,16/10/2015,06:51,-6.417333333,51.2245
15,260,16/10/2015,06:53,-6.417333333,51.222,16/10/2015,07:04,-6.632833333,51.22283333
13,273,16/10/2015,13:43,-6.63414,51.27695167,16/10/2015,14:15,-6.416473333,51.27595167
13,274,16/10/2015,14:18,-6.416473333,51.27251167,16/10/2015,14:36,-6.633453333,51.27337333
13,275,16/10/2015,14:38,-6.633453333,51.271655,16/10/2015,14:52,-6.416931667,51.27022
13,276,16/10/2015,14:54,-6.41739,51.26735833,16/10/2015,15:04,-6.633453333,51.26821667
13,277,16/10/2015,15:06,-6.633453333,51.26606833,16/10/2015,15:24,-6.416931667,51.265925
13,278,16/10/2015,15:27,-6.416473333,51.26134167,16/10/2015,15:42,-6.634598333,51.26335
13,279,16/10/2015,15:44,-6.63414,51.260915,16/10/2015,15:59,-6.416473333,51.26105833
13,280,16/10/2015,16:01,-6.416473333,51.25819333,16/10/2015,16:22,-6.632995,51.25819333
13,281,16/10/2015,16:24,-6.632995,51.25532833,16/10/2015,16:35,-6.416473333,51.25446667
13,282,16/10/2015,16:37,-6.416473333,51.25160167,16/10/2015,16:46,-6.632538333,51.25246167
13,283,16/10/2015,16:48,-6.632538333,51.25045833,16/10/2015,16:57,-6.416931667,51.24902333
13,284,16/10/2015,16:59,-6.416931667,51.24615833,16/10/2015,17:09,-6.633453333,51.247305
13,285,16/10/2015,17:11,-6.633453333,51.24529667,16/10/2015,17:21,-6.416931667,51.24444
13,286,16/10/2015,17:23,-6.416931667,51.24128833,16/10/2015,17:35,-6.633681667,51.24243167
13,287,16/10/2015,17:37,-6.633453333,51.24014,16/10/2015,17:49,-6.416473333,51.23928
13,288,16/10/2015,17:57,-6.416473333,51.236415,16/10/2015,18:07,-6.633453333,51.237275
13,289,16/10/2015,18:09,-6.632995,51.23412333,16/10/2015,18:22,-6.416473333,51.23355
13,290,16/10/2015,18:25,-6.416473333,51.23096833,16/10/2015,18:38,-6.632538333,51.231255
13,291,16/10/2015,18:40,-6.632996667,51.22910667,16/10/2015,18:46,-6.416931667,51.22752833
13,292,16/10/2015,18:58,-6.416701667,51.22552333,16/10/2015,19:13,-6.633453333,51.22638167
13,293,16/10/2015,19:16,-6.632995,51.222655,16/10/2015,19:25,-6.41739,51.22351667
